city,stars,review_count
Montecito,3.9423076923076925,3509
Summerland,3.888888888888889,1296
Santa Barbara,3.8453237410071943,157765
Carpinteria,3.6858974358974357,11074
Goleta,3.571794871794872,25552
Isla Vista,3.5510204081632653,6135
